date,sales
2023-01-01,1250.50
2023-01-02,1180.75
2023-01-03,1320.25
2023-01-04,1450.80
2023-01-05,1380.90
2023-01-06,1520.15
2023-01-07,1680.40
2023-01-08,1200.30
2023-01-09,1150.60
2023-01-10,1290.85
2023-01-11,1420.70
2023-01-12,1350.95
2023-01-13,1480.20
2023-01-14,1650.45
2023-01-15,1220.10
2023-01-16,1170.35
2023-01-17,1310.60
2023-01-18,1440.85
2023-01-19,1370.10
2023-01-20,1500.35
2023-01-21,1670.60
2023-01-22,1240.85
2023-01-23,1190.10
2023-01-24,1330.35
2023-01-25,1460.60
2023-01-26,1390.85
2023-01-27,1520.10
2023-01-28,1690.35
2023-01-29,1260.60
2023-01-30,1210.85
2023-01-31,1350.10
